date,rank,song,artist,last-week,peak-rank,weeks-on-board,song_clean,artist_clean
2010-11-13,95,Waiting For The End,Linkin Park,100.0,95,4,waiting for the end,linkin park
2010-11-13,96,Jar Of Hearts,Christina Perri,0.0,34,5,jar of hearts,christina perri
2010-11-13,97,One In A Million,Ne-Yo,0.0,97,1,one in a million,ne-yo
2010-11-13,98,Porn Star Dancing,My Darkest Days Featuring Zakk Wylde,90.0,90,2,porn star dancing,my darkest days featuring zakk wylde
2010-11-13,99,Smoke A Little Smoke,Eric Church,97.0,97,7,smoke a little smoke,eric church
2010-11-13,100,Someone Else Calling You Baby,Luke Bryan,0.0,100,1,someone else calling you baby,luke bryan
2010-11-06,1,Like A G6,Far*East Movement Featuring Cataracs & Dev,1.0,1,11,like a g6,far east movement featuring cataracs and dev
2010-11-06,2,Just The Way You Are,Bruno Mars,2.0,1,14,just the way you are,bruno mars
2010-11-06,3,Only Girl (In The World),Rihanna,4.0,3,7,only girl,rihanna
2010-11-06,4,Just A Dream,Nelly,3.0,3,10,just a dream,nelly
2010-11-06,5,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,5.0,4,15,dj got us fallin' in love,usher featuring pitbull
2010-11-06,6,Bottoms Up,Trey Songz Featuring Nicki Minaj,10.0,6,11,bottoms up,trey songz featuring nicki minaj
2010-11-06,7,Teenage Dream,Katy Perry,7.0,1,14,teenage dream,katy perry
2010-11-06,8,Dynamite,Taio Cruz,8.0,2,21,dynamite,taio cruz
2010-11-06,9,Club Can't Handle Me,Flo Rida Featuring David Guetta,9.0,9,17,club can't handle me,flo rida featuring david guetta
2010-11-06,10,Raise Your Glass,P!nk,11.0,10,3,raise your glass,p nk
2010-11-06,11,Mean,Taylor Swift,0.0,11,1,mean,taylor swift
2010-11-06,12,Love The Way You Lie,Eminem Featuring Rihanna,12.0,1,18,love the way you lie,eminem featuring rihanna
2010-11-06,13,Mine,Taylor Swift,14.0,3,12,mine,taylor swift
2010-11-06,14,I Like It,Enrique Iglesias Featuring Pitbull,13.0,4,24,i like it,enrique iglesias featuring pitbull
2010-11-06,15,Animal,Neon Trees,15.0,15,21,animal,neon trees
2010-11-06,16,Deuces,Chris Brown Featuring Tyga & Kevin McCall,16.0,14,17,deuces,chris brown featuring tyga and kevin mccall
2010-11-06,17,F**k You! (Forget You),CeeLo Green,17.0,17,9,f k you,ceelo green
2010-11-06,18,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,22.0,18,7,no hands,waka flocka flame featuring roscoe dash and wale
2010-11-06,19,Please Don't Go,Mike Posner,34.0,19,5,please don't go,mike posner
2010-11-06,20,Right Above It,Lil Wayne Featuring Drake,20.0,6,10,right above it,lil wayne featuring drake
2010-11-06,21,If I Die Young,The Band Perry,19.0,19,16,if i die young,the band perry
2010-11-06,22,Take It Off,Ke$ha,18.0,8,15,take it off,ke ha
2010-11-06,23,Stuck Like Glue,Sugarland,23.0,20,13,stuck like glue,sugarland
2010-11-06,24,Secrets,OneRepublic,24.0,21,18,secrets,onerepublic
2010-11-06,25,Check It Out,will.i.am & Nicki Minaj,28.0,25,7,check it out,will i am and nicki minaj
2010-11-06,26,Hot Tottie,Usher Featuring Jay-Z,21.0,21,11,hot tottie,usher featuring jay-z
2010-11-06,27,Love Like Woe,The Ready Set,32.0,27,11,love like woe,the ready set
2010-11-06,28,Cooler Than Me,Mike Posner,25.0,6,26,cooler than me,mike posner
2010-11-06,29,We No Speak Americano,Yolanda Be Cool & Dcup,36.0,29,6,we no speak americano,yolanda be cool and dcup
2010-11-06,30,Back To December,Taylor Swift,6.0,6,2,back to december,taylor swift
2010-11-06,31,California Gurls,Katy Perry Featuring Snoop Dogg,26.0,1,24,california gurls,katy perry featuring snoop dogg
2010-11-06,32,Loca,Shakira Featuring El Cata or Dizzee Rascal,84.0,32,3,loca,shakira featuring el cata or dizzee rascal
2010-11-06,33,Airplanes,B.o.B Featuring Hayley Williams,31.0,2,28,airplanes,b o b featuring hayley williams
2010-11-06,34,Misery,Maroon 5,29.0,14,18,misery,maroon 5
2010-11-06,35,Fancy,Drake Featuring T.I. & Swizz Beatz,35.0,25,13,fancy,drake featuring t i and swizz beatz
2010-11-06,36,September,Daughtry,40.0,36,12,september,daughtry
2010-11-06,37,King Of Anything,Sara Bareilles,42.0,32,18,king of anything,sara bareilles
2010-11-06,38,Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj,43.0,36,12,letting go,sean kingston featuring nicki minaj
2010-11-06,39,As She's Walking Away,Zac Brown Band Featuring Alan Jackson,46.0,39,11,as she's walking away,zac brown band featuring alan jackson
2010-11-06,40,Not Afraid,Eminem,30.0,1,25,not afraid,eminem
2010-11-06,41,Come Back Song,Darius Rucker,37.0,37,15,come back song,darius rucker
2010-11-06,42,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,33.0,31,12,2012,jay sean featuring nicki minaj
2010-11-06,43,OMG,Usher Featuring will.i.am,44.0,1,30,omg,usher featuring will i am
2010-11-06,44,Can't Be Friends,Trey Songz,52.0,44,6,can't be friends,trey songz
2010-11-06,45,Magic,B.o.B Featuring Rivers Cuomo,39.0,10,20,magic,b o b featuring rivers cuomo
2010-11-06,46,If It's Love,Train,49.0,34,20,if it's love,train
2010-11-06,47,Farmer's Daughter,Rodney Atkins,53.0,47,19,farmer's daughter,rodney atkins
2010-11-06,48,My Kinda Party,Jason Aldean,56.0,48,9,my kinda party,jason aldean
2010-11-06,49,No Love,Eminem Featuring Lil Wayne,59.0,23,8,no love,eminem featuring lil wayne
2010-11-06,50,Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,66.0,50,4,aston martin music,rick ross featuring drake and chrisette michele
2010-11-06,51,Black And Yellow,Wiz Khalifa,64.0,51,3,black and yellow,wiz khalifa
2010-11-06,52,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,57.0,44,4,hey baby,pitbull featuring t-pain
2010-11-06,53,The Boys of Fall,Kenny Chesney,47.0,18,13,the boys of fall,kenny chesney
2010-11-06,54,Runaway,Kanye West Featuring Pusha T,38.0,12,3,runaway,kanye west featuring pusha t
2010-11-06,55,Anything Like Me,Brad Paisley,58.0,55,8,anything like me,brad paisley
2010-11-06,56,Roll With It,Easton Corbin,55.0,55,15,roll with it,easton corbin
2010-11-06,57,Firework,Katy Perry,0.0,57,1,firework,katy perry
2010-11-06,58,All I Want Is You,Miguel Featuring J. Cole,61.0,58,6,all i want is you,miguel featuring j cole
2010-11-06,59,Right Thru Me,Nicki Minaj,68.0,59,4,right thru me,nicki minaj
2010-11-06,60,Holding You Down (Goin In Circles),Jazmine Sullivan,62.0,60,9,holding you down,jazmine sullivan
2010-11-06,61,Little Lion Man,Mumford & Sons,65.0,61,11,little lion man,mumford and sons
2010-11-06,62,If I Had You,Adam Lambert,51.0,30,18,if i had you,adam lambert
2010-11-06,63,Why Wait,Rascal Flatts,63.0,48,10,why wait,rascal flatts
2010-11-06,64,Memories,David Guetta Featuring Kid Cudi,73.0,64,3,memories,david guetta featuring kid cudi
2010-11-06,65,Radioactive,Kings Of Leon,0.0,37,3,radioactive,kings of leon
2010-11-06,66,Gonna Get This,Hannah Montana Featuring Iyaz,0.0,66,1,gonna get this,hannah montana featuring iyaz
2010-11-06,67,Stereo Love,Edward Maya & Vika Jigulina,74.0,67,3,stereo love,edward maya and vika jigulina
2010-11-06,68,Mama's Song,Carrie Underwood,70.0,68,5,mama's song,carrie underwood
2010-11-06,69,Toot It And Boot It,YG,67.0,67,9,toot it and boot it,yg
2010-11-06,70,Rhythm of Love,Plain White T's,82.0,70,6,rhythm of love,plain white t's
2010-11-06,71,Love All Over Me,Monica,72.0,58,15,love all over me,monica
2010-11-06,72,The Breath You Take,George Strait,71.0,71,8,the breath you take,george strait
2010-11-06,73,All Over Me,Josh Turner,60.0,59,17,all over me,josh turner
2010-11-06,74,Shake,Jesse McCartney,78.0,74,3,shake,jesse mccartney
2010-11-06,75,Grenade,Bruno Mars,79.0,75,4,grenade,bruno mars
2010-11-06,76,Turn On The Radio,Reba,76.0,76,6,turn on the radio,reba
2010-11-06,77,Only Prettier,Miranda Lambert,75.0,75,8,only prettier,miranda lambert
2010-11-06,78,Whip My Hair,WILLOW,0.0,78,1,whip my hair,willow
2010-11-06,79,Monster,"Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",0.0,79,1,monster,kanye west featuring jay-z rick ross bon iver and nicki minaj
2010-11-06,80,Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,0.0,38,18,waka waka,shakira featuring freshlyground
2010-11-06,81,Put You In A Song,Keith Urban,89.0,81,4,put you in a song,keith urban
2010-11-06,82,The End,Kings Of Leon,0.0,82,1,the end,kings of leon
2010-11-06,83,What's My Name?,Rihanna Featuring Drake,0.0,83,1,what's my name,rihanna featuring drake
2010-11-06,84,Dog Days Are Over,Florence + The Machine,77.0,21,6,dog days are over,florence the machine
2010-11-06,85,Way Out Here,Josh Thompson,85.0,85,9,way out here,josh thompson
2010-11-06,86,Speak Now,Taylor Swift,45.0,8,3,speak now,taylor swift
2010-11-06,87,Double Vision,3OH!3,0.0,87,2,double vision,3oh 3
2010-11-06,88,This Ain't No Love Song,Trace Adkins,100.0,88,2,this ain't no love song,trace adkins
2010-11-06,89,Rap Song,T-Pain Featuring Rick Ross,0.0,89,1,rap song,t-pain featuring rick ross
2010-11-06,90,Porn Star Dancing,My Darkest Days Featuring Zakk Wylde,0.0,90,1,porn star dancing,my darkest days featuring zakk wylde
2010-11-06,91,Lay It Down,Lloyd,0.0,91,1,lay it down,lloyd
2010-11-06,92,B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P,90.0,60,16,b m f,rick ross featuring styles p
2010-11-06,93,Tighten Up,The Black Keys,0.0,93,1,tighten up,the black keys
2010-11-06,94,Our Kind Of Love,Lady Antebellum,86.0,51,20,our kind of love,lady antebellum
2010-11-06,95,Strip Me,Natasha Bedingfield,0.0,95,1,strip me,natasha bedingfield
2010-11-06,96,Angel,Akon,95.0,62,3,angel,akon
2010-11-06,97,Smoke A Little Smoke,Eric Church,97.0,97,6,smoke a little smoke,eric church
2010-11-06,98,All About Tonight,Blake Shelton,92.0,37,19,all about tonight,blake shelton
2010-11-06,99,Got Your Back,T.I. Featuring Keri Hilson,0.0,38,20,got your back,t i featuring keri hilson
2010-11-06,100,Waiting For The End,Linkin Park,0.0,95,3,waiting for the end,linkin park
2010-10-30,1,Like A G6,Far*East Movement Featuring Cataracs & Dev,2.0,1,10,like a g6,far east movement featuring cataracs and dev
2010-10-30,2,Just The Way You Are,Bruno Mars,1.0,1,13,just the way you are,bruno mars
2010-10-30,3,Just A Dream,Nelly,3.0,3,9,just a dream,nelly
2010-10-30,4,Only Girl (In The World),Rihanna,6.0,3,6,only girl,rihanna
2010-10-30,5,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,5.0,4,14,dj got us fallin' in love,usher featuring pitbull
2010-10-30,6,Back To December,Taylor Swift,0.0,6,1,back to december,taylor swift
2010-10-30,7,Teenage Dream,Katy Perry,4.0,1,13,teenage dream,katy perry
2010-10-30,8,Dynamite,Taio Cruz,7.0,2,20,dynamite,taio cruz
2010-10-30,9,Club Can't Handle Me,Flo Rida Featuring David Guetta,9.0,9,16,club can't handle me,flo rida featuring david guetta
2010-10-30,10,Bottoms Up,Trey Songz Featuring Nicki Minaj,13.0,10,10,bottoms up,trey songz featuring nicki minaj
2010-10-30,11,Raise Your Glass,P!nk,51.0,11,2,raise your glass,p nk
2010-10-30,12,Love The Way You Lie,Eminem Featuring Rihanna,10.0,1,17,love the way you lie,eminem featuring rihanna
2010-10-30,13,I Like It,Enrique Iglesias Featuring Pitbull,11.0,4,23,i like it,enrique iglesias featuring pitbull
2010-10-30,14,Mine,Taylor Swift,14.0,3,11,mine,taylor swift
2010-10-30,15,Animal,Neon Trees,15.0,15,20,animal,neon trees
2010-10-30,16,Deuces,Chris Brown Featuring Tyga & Kevin McCall,17.0,14,16,deuces,chris brown featuring tyga and kevin mccall
2010-10-30,17,F**k You! (Forget You),CeeLo Green,18.0,17,8,f k you,ceelo green
2010-10-30,18,Take It Off,Ke$ha,16.0,8,14,take it off,ke ha
2010-10-30,19,If I Die Young,The Band Perry,27.0,19,15,if i die young,the band perry
2010-10-30,20,Right Above It,Lil Wayne Featuring Drake,26.0,6,9,right above it,lil wayne featuring drake
2010-10-30,21,Hot Tottie,Usher Featuring Jay-Z,22.0,21,10,hot tottie,usher featuring jay-z
2010-10-30,22,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,30.0,22,6,no hands,waka flocka flame featuring roscoe dash and wale
2010-10-30,23,Stuck Like Glue,Sugarland,25.0,20,12,stuck like glue,sugarland
2010-10-30,24,Secrets,OneRepublic,21.0,21,17,secrets,onerepublic
2010-10-30,25,Cooler Than Me,Mike Posner,20.0,6,25,cooler than me,mike posner
2010-10-30,26,California Gurls,Katy Perry Featuring Snoop Dogg,19.0,1,23,california gurls,katy perry featuring snoop dogg
2010-10-30,27,Lucky,Glee Cast,0.0,27,1,lucky,glee cast
2010-10-30,28,Check It Out,will.i.am & Nicki Minaj,34.0,28,6,check it out,will i am and nicki minaj
2010-10-30,29,Misery,Maroon 5,23.0,14,17,misery,maroon 5
2010-10-30,30,Not Afraid,Eminem,28.0,1,24,not afraid,eminem
2010-10-30,31,Airplanes,B.o.B Featuring Hayley Williams,24.0,2,27,airplanes,b o b featuring hayley williams
2010-10-30,32,Love Like Woe,The Ready Set,33.0,32,10,love like woe,the ready set
2010-10-30,33,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,31.0,31,11,2012,jay sean featuring nicki minaj
2010-10-30,34,Please Don't Go,Mike Posner,54.0,34,4,please don't go,mike posner
2010-10-30,35,Fancy,Drake Featuring T.I. & Swizz Beatz,32.0,25,12,fancy,drake featuring t i and swizz beatz
2010-10-30,36,We No Speak Americano,Yolanda Be Cool & Dcup,48.0,36,5,we no speak americano,yolanda be cool and dcup
2010-10-30,37,Come Back Song,Darius Rucker,47.0,37,14,come back song,darius rucker
2010-10-30,38,Runaway,Kanye West Featuring Pusha T,12.0,12,2,runaway,kanye west featuring pusha t
2010-10-30,39,Magic,B.o.B Featuring Rivers Cuomo,29.0,10,19,magic,b o b featuring rivers cuomo
2010-10-30,40,September,Daughtry,39.0,37,11,september,daughtry
2010-10-30,41,"River Deep, Mountain High",Glee Cast,0.0,41,1,river deep mountain high,glee cast
2010-10-30,42,King Of Anything,Sara Bareilles,40.0,32,17,king of anything,sara bareilles
2010-10-30,43,Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj,42.0,36,11,letting go,sean kingston featuring nicki minaj
2010-10-30,44,OMG,Usher Featuring will.i.am,38.0,1,29,omg,usher featuring will i am
2010-10-30,45,Speak Now,Taylor Swift,8.0,8,2,speak now,taylor swift
2010-10-30,46,As She's Walking Away,Zac Brown Band Featuring Alan Jackson,46.0,46,10,as she's walking away,zac brown band featuring alan jackson
2010-10-30,47,The Boys of Fall,Kenny Chesney,35.0,18,12,the boys of fall,kenny chesney
2010-10-30,48,Happy Days Are Here Again / Get Happy,Glee Cast,0.0,48,1,happy days are here again get happy,glee cast
2010-10-30,49,If It's Love,Train,45.0,34,19,if it's love,train
2010-10-30,50,Don't Go Breaking My Heart,Glee Cast,0.0,50,1,don't go breaking my heart,glee cast
2010-10-30,51,If I Had You,Adam Lambert,41.0,30,17,if i had you,adam lambert
2010-10-30,52,Can't Be Friends,Trey Songz,58.0,52,5,can't be friends,trey songz
2010-10-30,53,Farmer's Daughter,Rodney Atkins,52.0,52,18,farmer's daughter,rodney atkins
2010-10-30,54,Move That Body,Nelly Featuring T-Pain & Akon,0.0,54,1,move that body,nelly featuring t-pain and akon
2010-10-30,55,Roll With It,Easton Corbin,56.0,55,14,roll with it,easton corbin
2010-10-30,56,My Kinda Party,Jason Aldean,55.0,54,8,my kinda party,jason aldean
2010-10-30,57,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,44.0,44,3,hey baby,pitbull featuring t-pain
2010-10-30,58,Anything Like Me,Brad Paisley,66.0,58,7,anything like me,brad paisley
2010-10-30,59,No Love,Eminem Featuring Lil Wayne,63.0,23,7,no love,eminem featuring lil wayne
2010-10-30,60,All Over Me,Josh Turner,59.0,59,16,all over me,josh turner
2010-10-30,61,All I Want Is You,Miguel Featuring J. Cole,72.0,61,5,all i want is you,miguel featuring j cole
2010-10-30,62,Holding You Down (Goin In Circles),Jazmine Sullivan,61.0,61,8,holding you down,jazmine sullivan
2010-10-30,63,Why Wait,Rascal Flatts,69.0,48,9,why wait,rascal flatts
2010-10-30,64,Black And Yellow,Wiz Khalifa,0.0,64,2,black and yellow,wiz khalifa
2010-10-30,65,Little Lion Man,Mumford & Sons,67.0,65,10,little lion man,mumford and sons
2010-10-30,66,Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,96.0,66,3,aston martin music,rick ross featuring drake and chrisette michele
2010-10-30,67,Toot It And Boot It,YG,68.0,67,8,toot it and boot it,yg
2010-10-30,68,Right Thru Me,Nicki Minaj,80.0,68,3,right thru me,nicki minaj
2010-10-30,69,Miss Me,Drake Featuring Lil Wayne,62.0,15,20,miss me,drake featuring lil wayne
2010-10-30,70,Mama's Song,Carrie Underwood,75.0,70,4,mama's song,carrie underwood
2010-10-30,71,The Breath You Take,George Strait,79.0,71,7,the breath you take,george strait
2010-10-30,72,Love All Over Me,Monica,70.0,58,14,love all over me,monica
2010-10-30,73,Memories,David Guetta Featuring Kid Cudi,94.0,73,2,memories,david guetta featuring kid cudi
2010-10-30,74,Stereo Love,Edward Maya & Vika Jigulina,93.0,74,2,stereo love,edward maya and vika jigulina
2010-10-30,75,Only Prettier,Miranda Lambert,85.0,75,7,only prettier,miranda lambert
2010-10-30,76,Turn On The Radio,Reba,83.0,76,5,turn on the radio,reba
2010-10-30,77,Dog Days Are Over,Florence + The Machine,0.0,21,5,dog days are over,florence the machine
2010-10-30,78,Shake,Jesse McCartney,0.0,78,2,shake,jesse mccartney
2010-10-30,79,Grenade,Bruno Mars,88.0,79,3,grenade,bruno mars
2010-10-30,80,Little Miss,Sugarland,0.0,80,1,little miss,sugarland
2010-10-30,81,Your Love,Nicki Minaj,71.0,14,20,your love,nicki minaj
2010-10-30,82,Rhythm of Love,Plain White T's,89.0,82,5,rhythm of love,plain white t's
2010-10-30,83,This,Darius Rucker,0.0,83,1,this,darius rucker
2010-10-30,84,Loca,Shakira Featuring El Cata or Dizzee Rascal,98.0,84,2,loca,shakira featuring el cata or dizzee rascal
2010-10-30,85,Way Out Here,Josh Thompson,87.0,85,8,way out here,josh thompson
2010-10-30,86,Our Kind Of Love,Lady Antebellum,76.0,51,19,our kind of love,lady antebellum
2010-10-30,87,Sing!,Glee Cast,0.0,87,1,sing,glee cast
2010-10-30,88,Pretty Good At Drinkin' Beer,Billy Currington,78.0,41,20,pretty good at drinkin' beer,billy currington
2010-10-30,89,Put You In A Song,Keith Urban,0.0,82,3,put you in a song,keith urban
2010-10-30,90,B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P,90.0,60,15,b m f,rick ross featuring styles p
2010-10-30,91,A Year Without Rain,Selena Gomez & The Scene,100.0,35,6,a year without rain,selena gomez and the scene
2010-10-30,92,All About Tonight,Blake Shelton,92.0,37,18,all about tonight,blake shelton
2010-10-30,93,Little White Church,Little Big Town,84.0,59,20,little white church,little big town
2010-10-30,94,Le Jazz Hot,Glee Cast,0.0,94,1,le jazz hot,glee cast
2010-10-30,95,Angel,Akon,0.0,62,2,angel,akon
2010-10-30,96,Gonorrhea,Lil Wayne Featuring Drake,64.0,17,3,gonorrhea,lil wayne featuring drake
2010-10-30,97,Smoke A Little Smoke,Eric Church,99.0,97,5,smoke a little smoke,eric church
2010-10-30,98,POWER,Kanye West,97.0,22,16,power,kanye west
2010-10-30,99,The Catalyst,Linkin Park,0.0,27,10,the catalyst,linkin park
2010-10-30,100,This Ain't No Love Song,Trace Adkins,0.0,100,1,this ain't no love song,trace adkins
2010-10-23,1,Just The Way You Are,Bruno Mars,1.0,1,12,just the way you are,bruno mars
2010-10-23,2,Like A G6,Far*East Movement Featuring Cataracs & Dev,2.0,2,9,like a g6,far east movement featuring cataracs and dev
2010-10-23,3,Just A Dream,Nelly,4.0,3,8,just a dream,nelly
2010-10-23,4,Teenage Dream,Katy Perry,3.0,1,12,teenage dream,katy perry
2010-10-23,5,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,5.0,4,13,dj got us fallin' in love,usher featuring pitbull
2010-10-23,6,Only Girl (In The World),Rihanna,8.0,3,5,only girl,rihanna
2010-10-23,7,Dynamite,Taio Cruz,6.0,2,19,dynamite,taio cruz
2010-10-23,8,Speak Now,Taylor Swift,0.0,8,1,speak now,taylor swift
2010-10-23,9,Club Can't Handle Me,Flo Rida Featuring David Guetta,10.0,9,15,club can't handle me,flo rida featuring david guetta
2010-10-23,10,Love The Way You Lie,Eminem Featuring Rihanna,7.0,1,16,love the way you lie,eminem featuring rihanna
2010-10-23,11,I Like It,Enrique Iglesias Featuring Pitbull,9.0,4,22,i like it,enrique iglesias featuring pitbull
2010-10-23,12,Runaway,Kanye West Featuring Pusha T,0.0,12,1,runaway,kanye west featuring pusha t
2010-10-23,13,Bottoms Up,Trey Songz Featuring Nicki Minaj,11.0,11,9,bottoms up,trey songz featuring nicki minaj
2010-10-23,14,Mine,Taylor Swift,12.0,3,10,mine,taylor swift
2010-10-23,15,Animal,Neon Trees,15.0,15,19,animal,neon trees
2010-10-23,16,Take It Off,Ke$ha,13.0,8,13,take it off,ke ha
2010-10-23,17,Deuces,Chris Brown Featuring Tyga & Kevin McCall,14.0,14,15,deuces,chris brown featuring tyga and kevin mccall
2010-10-23,18,F**k You! (Forget You),CeeLo Green,21.0,18,7,f k you,ceelo green
2010-10-23,19,California Gurls,Katy Perry Featuring Snoop Dogg,20.0,1,22,california gurls,katy perry featuring snoop dogg
2010-10-23,20,Cooler Than Me,Mike Posner,19.0,6,24,cooler than me,mike posner
2010-10-23,21,Secrets,OneRepublic,27.0,21,16,secrets,onerepublic
2010-10-23,22,Hot Tottie,Usher Featuring Jay-Z,28.0,22,9,hot tottie,usher featuring jay-z
2010-10-23,23,Misery,Maroon 5,18.0,14,16,misery,maroon 5
2010-10-23,24,Airplanes,B.o.B Featuring Hayley Williams,22.0,2,26,airplanes,b o b featuring hayley williams
2010-10-23,25,Stuck Like Glue,Sugarland,29.0,20,11,stuck like glue,sugarland
2010-10-23,26,Right Above It,Lil Wayne Featuring Drake,39.0,6,8,right above it,lil wayne featuring drake
2010-10-23,27,If I Die Young,The Band Perry,45.0,27,14,if i die young,the band perry
2010-10-23,28,Not Afraid,Eminem,24.0,1,23,not afraid,eminem
2010-10-23,29,Magic,B.o.B Featuring Rivers Cuomo,23.0,10,18,magic,b o b featuring rivers cuomo
2010-10-23,30,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,43.0,30,5,no hands,waka flocka flame featuring roscoe dash and wale
2010-10-23,31,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,33.0,31,10,2012,jay sean featuring nicki minaj
2010-10-23,32,Fancy,Drake Featuring T.I. & Swizz Beatz,32.0,25,11,fancy,drake featuring t i and swizz beatz
2010-10-23,33,Love Like Woe,The Ready Set,38.0,33,9,love like woe,the ready set
2010-10-23,34,Check It Out,will.i.am & Nicki Minaj,50.0,34,5,check it out,will i am and nicki minaj
2010-10-23,35,The Boys of Fall,Kenny Chesney,30.0,18,11,the boys of fall,kenny chesney
2010-10-23,36,I Want To Hold Your Hand,Glee Cast,0.0,36,1,i want to hold your hand,glee cast
2010-10-23,37,One Of Us,Glee Cast,0.0,37,1,one of us,glee cast
2010-10-23,38,OMG,Usher Featuring will.i.am,34.0,1,28,omg,usher featuring will i am
2010-10-23,39,September,Daughtry,37.0,37,10,september,daughtry
2010-10-23,40,King Of Anything,Sara Bareilles,35.0,32,16,king of anything,sara bareilles
2010-10-23,41,If I Had You,Adam Lambert,31.0,30,16,if i had you,adam lambert
2010-10-23,42,Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj,40.0,36,10,letting go,sean kingston featuring nicki minaj
2010-10-23,43,"Hey, Soul Sister",Train,44.0,3,54,hey soul sister,train
2010-10-23,44,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,51.0,44,2,hey baby,pitbull featuring t-pain
2010-10-23,45,If It's Love,Train,47.0,34,18,if it's love,train
2010-10-23,46,As She's Walking Away,Zac Brown Band Featuring Alan Jackson,46.0,46,9,as she's walking away,zac brown band featuring alan jackson
2010-10-23,47,Come Back Song,Darius Rucker,49.0,47,13,come back song,darius rucker
2010-10-23,48,We No Speak Americano,Yolanda Be Cool & Dcup,63.0,48,4,we no speak americano,yolanda be cool and dcup
2010-10-23,49,Ridin' Solo,Jason Derulo,36.0,9,28,ridin' solo,jason derulo
2010-10-23,50,Only The Good Die Young,Glee Cast,0.0,50,1,only the good die young,glee cast
2010-10-23,51,Raise Your Glass,P!nk,0.0,51,1,raise your glass,p nk
2010-10-23,52,Farmer's Daughter,Rodney Atkins,57.0,52,17,farmer's daughter,rodney atkins
2010-10-23,53,The Only Exception,Paramore,25.0,24,20,the only exception,paramore
2010-10-23,54,Please Don't Go,Mike Posner,69.0,54,3,please don't go,mike posner
2010-10-23,55,My Kinda Party,Jason Aldean,59.0,54,7,my kinda party,jason aldean
2010-10-23,56,Roll With It,Easton Corbin,58.0,56,13,roll with it,easton corbin
2010-10-23,57,Teach Me How To Dougie,Cali Swag District,55.0,28,20,teach me how to dougie,cali swag district
2010-10-23,58,Can't Be Friends,Trey Songz,66.0,58,4,can't be friends,trey songz
2010-10-23,59,All Over Me,Josh Turner,60.0,59,15,all over me,josh turner
2010-10-23,60,Losing My Religion,Glee Cast,0.0,60,1,losing my religion,glee cast
2010-10-23,61,Holding You Down (Goin In Circles),Jazmine Sullivan,64.0,61,7,holding you down,jazmine sullivan
2010-10-23,62,Miss Me,Drake Featuring Lil Wayne,62.0,15,19,miss me,drake featuring lil wayne
2010-10-23,63,No Love,Eminem Featuring Lil Wayne,89.0,23,6,no love,eminem featuring lil wayne
2010-10-23,64,Gonorrhea,Lil Wayne Featuring Drake,17.0,17,2,gonorrhea,lil wayne featuring drake
2010-10-23,65,Papa Can You Hear Me?,Glee Cast,0.0,65,1,papa can you hear me,glee cast
2010-10-23,66,Anything Like Me,Brad Paisley,78.0,66,6,anything like me,brad paisley
2010-10-23,67,Little Lion Man,Mumford & Sons,67.0,67,9,little lion man,mumford and sons
2010-10-23,68,Toot It And Boot It,YG,80.0,68,7,toot it and boot it,yg
2010-10-23,69,Why Wait,Rascal Flatts,72.0,48,8,why wait,rascal flatts
2010-10-23,70,Love All Over Me,Monica,68.0,58,13,love all over me,monica
2010-10-23,71,Your Love,Nicki Minaj,61.0,14,19,your love,nicki minaj
2010-10-23,72,All I Want Is You,Miguel Featuring J. Cole,85.0,72,4,all i want is you,miguel featuring j cole
2010-10-23,73,Bridge Over Troubled Water,Glee Cast,0.0,73,1,bridge over troubled water,glee cast
2010-10-23,74,I Look To You,Glee Cast,0.0,74,1,i look to you,glee cast
2010-10-23,75,Mama's Song,Carrie Underwood,87.0,75,3,mama's song,carrie underwood
2010-10-23,76,Our Kind Of Love,Lady Antebellum,70.0,51,18,our kind of love,lady antebellum
2010-10-23,77,Half Of My Heart,John Mayer,76.0,25,20,half of my heart,john mayer
2010-10-23,78,Pretty Good At Drinkin' Beer,Billy Currington,71.0,41,19,pretty good at drinkin' beer,billy currington
2010-10-23,79,The Breath You Take,George Strait,84.0,79,6,the breath you take,george strait
2010-10-23,80,Right Thru Me,Nicki Minaj,74.0,74,2,right thru me,nicki minaj
